# Thai 00E00 - 00E7F
0E01	th:kokai	THAI CHARACTER KO KAI
0E02	th:khokhai	THAI CHARACTER KHO KHAI
0E03	th:khokhuat	THAI CHARACTER KHO KHUAT
0E04	th:khokhwai	THAI CHARACTER KHO KHWAI
0E05	th:khokhon	THAI CHARACTER KHO KHON
0E06	th:khorakhang	THAI CHARACTER KHO RAKHANG
0E07	th:ngongu	THAI CHARACTER NGO NGU
0E08	th:chochan	THAI CHARACTER CHO CHAN
0E09	th:choching	THAI CHARACTER CHO CHING
0E0A	th:chochang	THAI CHARACTER CHO CHANG
0E0B	th:soso	THAI CHARACTER SO SO
0E0C	th:chochoe	THAI CHARACTER CHO CHOE
0E0D	th:yoying	THAI CHARACTER YO YING
0E0E	th:dochada	THAI CHARACTER DO CHADA
0E0F	th:topatak	THAI CHARACTER TO PATAK
0E10	th:thothan	THAI CHARACTER THO THAN
0E11	th:thonangmontho	THAI CHARACTER THO NANGMONTHO
0E12	th:thophuthao	THAI CHARACTER THO PHUTHAO
0E13	th:nonen	THAI CHARACTER NO NEN
0E14	th:dodek	THAI CHARACTER DO DEK
0E15	th:totao	THAI CHARACTER TO TAO
0E16	th:thothung	THAI CHARACTER THO THUNG
0E17	th:thothahan	THAI CHARACTER THO THAHAN
0E18	th:thothong	THAI CHARACTER THO THONG
0E19	th:nonu	THAI CHARACTER NO NU
0E1A	th:bobaimai	THAI CHARACTER BO BAIMAI
0E1B	th:popla	THAI CHARACTER PO PLA
0E1C	th:phophung	THAI CHARACTER PHO PHUNG
0E1D	th:fofa	THAI CHARACTER FO FA
0E1E	th:phophan	THAI CHARACTER PHO PHAN
0E1F	th:fofan	THAI CHARACTER FO FAN
0E20	th:phosamphao	THAI CHARACTER PHO SAMPHAO
0E21	th:moma	THAI CHARACTER MO MA
0E22	th:yoyak	THAI CHARACTER YO YAK
0E23	th:rorua	THAI CHARACTER RO RUA
0E24	th:ru	THAI CHARACTER RU
0E25	th:loling	THAI CHARACTER LO LING
0E26	th:lu	THAI CHARACTER LU
0E27	th:wowaen	THAI CHARACTER WO WAEN
0E28	th:sosala	THAI CHARACTER SO SALA
0E29	th:sorusi	THAI CHARACTER SO RUSI
0E2A	th:sosua	THAI CHARACTER SO SUA
0E2B	th:hohip	THAI CHARACTER HO HIP
0E2C	th:lochula	THAI CHARACTER LO CHULA
0E2D	th:oang	THAI CHARACTER O ANG
0E2E	th:honokhuk	THAI CHARACTER HO NOKHUK
0E2F	th:paiyannoi	THAI CHARACTER PAIYANNOI
0E30	th:saraa	THAI CHARACTER SARA A
0E31	th:maihan-akat	THAI CHARACTER MAI HAN-AKAT
0E32	th:saraaa	THAI CHARACTER SARA AA
0E33	th:saraam	THAI CHARACTER SARA AM
0E34	th:sarai	THAI CHARACTER SARA I
0E35	th:saraii	THAI CHARACTER SARA II
0E36	th:saraue	THAI CHARACTER SARA UE
0E37	th:sarauee	THAI CHARACTER SARA UEE
0E38	th:sarau	THAI CHARACTER SARA U
0E39	th:sarauu	THAI CHARACTER SARA UU
0E3A	th:phinthu	THAI CHARACTER PHINTHU
0E3F	th:baht	THAI CURRENCY SYMBOL BAHT
0E40	th:sarae	THAI CHARACTER SARA E
0E41	th:saraae	THAI CHARACTER SARA AE
0E42	th:sarao	THAI CHARACTER SARA O
0E43	th:saraaimaimuan	THAI CHARACTER SARA AI MAIMUAN
0E44	th:saraaimaimalai	THAI CHARACTER SARA AI MAIMALAI
0E45	th:lakkhangyao	THAI CHARACTER LAKKHANGYAO
0E46	th:maiyamok	THAI CHARACTER MAIYAMOK
0E47	th:maitaikhu	THAI CHARACTER MAITAIKHU
0E48	th:maiek	THAI CHARACTER MAI EK
0E49	th:maitho	THAI CHARACTER MAI THO
0E4A	th:maitri	THAI CHARACTER MAI TRI
0E4B	th:maichattawa	THAI CHARACTER MAI CHATTAWA
0E4C	th:thanthakhat	THAI CHARACTER THANTHAKHAT
0E4D	th:nikhahit	THAI CHARACTER NIKHAHIT
0E4E	th:yamakkan	THAI CHARACTER YAMAKKAN
0E4F	th:fongman	THAI CHARACTER FONGMAN
0E50	th:zero	THAI DIGIT ZERO
0E51	th:one	THAI DIGIT ONE
0E52	th:two	THAI DIGIT TWO
0E53	th:three	THAI DIGIT THREE
0E54	th:four	THAI DIGIT FOUR
0E55	th:five	THAI DIGIT FIVE
0E56	th:six	THAI DIGIT SIX
0E57	th:seven	THAI DIGIT SEVEN
0E58	th:eight	THAI DIGIT EIGHT
0E59	th:nine	THAI DIGIT NINE
0E5A	th:angkhankhu	THAI CHARACTER ANGKHANKHU
0E5B	th:khomut	THAI CHARACTER KHOMUT
