# Ethiopic Supplement 01380 - 0139F
1380	ethi:mwasebatbeit	ETHIOPIC SYLLABLE SEBATBEIT MWA
1381	ethi:mwi	ETHIOPIC SYLLABLE MWI
1382	ethi:mwee	ETHIOPIC SYLLABLE MWEE
1383	ethi:mwe	ETHIOPIC SYLLABLE MWE
1384	ethi:bwasebatbeit	ETHIOPIC SYLLABLE SEBATBEIT BWA
1385	ethi:bwi	ETHIOPIC SYLLABLE BWI
1386	ethi:bwee	ETHIOPIC SYLLABLE BWEE
1387	ethi:bwe	ETHIOPIC SYLLABLE BWE
1388	ethi:fwasebatbeit	ETHIOPIC SYLLABLE SEBATBEIT FWA
1389	ethi:fwi	ETHIOPIC SYLLABLE FWI
138A	ethi:fwee	ETHIOPIC SYLLABLE FWEE
138B	ethi:fwe	ETHIOPIC SYLLABLE FWE
138C	ethi:pwasebatbeit	ETHIOPIC SYLLABLE SEBATBEIT PWA
138D	ethi:pwi	ETHIOPIC SYLLABLE PWI
138E	ethi:pwee	ETHIOPIC SYLLABLE PWEE
138F	ethi:pwe	ETHIOPIC SYLLABLE PWE
1390	ethi:yizet	ETHIOPIC TONAL MARK YIZET
1391	ethi:deret	ETHIOPIC TONAL MARK DERET
1392	ethi:rikrik	ETHIOPIC TONAL MARK RIKRIK
1393	ethi:shortrikrik	ETHIOPIC TONAL MARK SHORT RIKRIK
1394	ethi:difat	ETHIOPIC TONAL MARK DIFAT
1395	ethi:kenat	ETHIOPIC TONAL MARK KENAT
1396	ethi:chiret	ETHIOPIC TONAL MARK CHIRET
1397	ethi:hidet	ETHIOPIC TONAL MARK HIDET
1398	ethi:derethidet	ETHIOPIC TONAL MARK DERET-HIDET
1399	ethi:kurt	ETHIOPIC TONAL MARK KURT
