# Combining Diacritical Marks for Symbols 020D0 - 020FF
20D0	leftHarpoonAbovecmb	COMBINING LEFT HARPOON ABOVE
20D1	rightHarpoonAbovecmb	COMBINING RIGHT HARPOON ABOVE
20D2	longVerticalLineOverlaycmb	COMBINING LONG VERTICAL LINE OVERLAY
20D3	shortVerticalLineOverlaycmb	COMBINING SHORT VERTICAL LINE OVERLAY
20D4	anticlockwiseArrowAbovecmb	COMBINING ANTICLOCKWISE ARROW ABOVE
20D5	clockwiseArrowAbovecmb	COMBINING CLOCKWISE ARROW ABOVE
20D6	leftArrowAbovecmb	COMBINING LEFT ARROW ABOVE
20D7	rightArrowAbovecmb	COMBINING RIGHT ARROW ABOVE
20D8	ringOverlaycmb	COMBINING RING OVERLAY
20D9	clockwiseRingOverlaycmb	COMBINING CLOCKWISE RING OVERLAY
20DA	anticlockwiseRingOverlaycmb	COMBINING ANTICLOCKWISE RING OVERLAY
20DB	threeDotsAbovecmb	COMBINING THREE DOTS ABOVE
20DC	fourDotsAbovecmb	COMBINING FOUR DOTS ABOVE
20DD	enclosingCirclecmb	COMBINING ENCLOSING CIRCLE
20DE	enclosingSquarecmb	COMBINING ENCLOSING SQUARE
20DF	enclosingDiamondcmb	COMBINING ENCLOSING DIAMOND
20E0	enclosingCircleBackslashcmb	COMBINING ENCLOSING CIRCLE BACKSLASH
20E1	leftRightArrowAbovecmb	COMBINING LEFT RIGHT ARROW ABOVE
20E2	enclosingScreencmb	COMBINING ENCLOSING SCREEN
20E3	enclosingKeycapcmb	COMBINING ENCLOSING KEYCAP
20E4	enclosingUpwardPointingTrianglecmb	COMBINING ENCLOSING UPWARD POINTING TRIANGLE
20E5	reverseSolidusOverlaycmb	COMBINING REVERSE SOLIDUS OVERLAY
20E6	doubleVerticalOverlaystrokecmb	COMBINING DOUBLE VERTICAL STROKE OVERLAY
20E7	annuitySymbolcmb	COMBINING ANNUITY SYMBOL
20E8	tripleUnderdotcmb	COMBINING TRIPLE UNDERDOT
20E9	wideBridgeAbovecmb	COMBINING WIDE BRIDGE ABOVE
20EA	leftwardsArrowOverlaycmb	COMBINING LEFTWARDS ARROW OVERLAY
20EB	longDoubleSolidusOverlaycmb	COMBINING LONG DOUBLE SOLIDUS OVERLAY
20EC	rightwardsHarpoonBDownwardsbarcmb	COMBINING RIGHTWARDS HARPOON WITH BARB DOWNWARDS
20ED	leftwardsHarpoonBDownwardsbarcmb	COMBINING LEFTWARDS HARPOON WITH BARB DOWNWARDS
20EE	leftArrowBelowcmb	COMBINING LEFT ARROW BELOW
20EF	rightArrowBelowcmb	COMBINING RIGHT ARROW BELOW
20F0	asteriskAbovecmb	COMBINING ASTERISK ABOVE
