# Miscellaneous Mathematical Symbols-B 02980 - 029FF
2980	tripleVerticalBarDelimiter	TRIPLE VERTICAL BAR DELIMITER
2981	zNotationSpot	Z NOTATION SPOT
2982	zNotationTypeColon	Z NOTATION TYPE COLON
2983	leftWhiteCurlyBracket	LEFT WHITE CURLY BRACKET
2984	rightWhiteCurlyBracket	RIGHT WHITE CURLY BRACKET
2985	leftWhiteParenthesis	LEFT WHITE PARENTHESIS
2986	rightWhiteParenthesis	RIGHT WHITE PARENTHESIS
2987	zNotationLeftImageBracket	Z NOTATION LEFT IMAGE BRACKET
2988	zNotationRightImageBracket	Z NOTATION RIGHT IMAGE BRACKET
2989	zNotationLeftBindingBracket	Z NOTATION LEFT BINDING BRACKET
298A	zNotationRightBindingBracket	Z NOTATION RIGHT BINDING BRACKET
298B	leftSquareBracketWithUnderbar	LEFT SQUARE BRACKET WITH UNDERBAR
298C	rightSquareBracketWithUnderbar	RIGHT SQUARE BRACKET WITH UNDERBAR
298D	leftSquareBracketWithTickInTopCorner	LEFT SQUARE BRACKET WITH TICK IN TOP CORNER
298E	rightSquareBracketWithTickInBottomCorner	RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
298F	leftSquareBracketWithTickInBottomCorner	LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
2990	rightSquareBracketWithTickInTopCorner	RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER
2991	leftAngleBracketWithDot	LEFT ANGLE BRACKET WITH DOT
2992	rightAngleBracketWithDot	RIGHT ANGLE BRACKET WITH DOT
2993	leftArcLessthanBracket 	LEFT ARC LESS-THAN BRACKET
2994	rightArcGreaterthanBracket 	RIGHT ARC GREATER-THAN BRACKET
2995	doubleLeftArcGreaterthanBracket 	DOUBLE LEFT ARC GREATER-THAN BRACKET
2996	doubleRightArcLessthanBracket 	DOUBLE RIGHT ARC LESS-THAN BRACKET
2997	leftBlackTortoiseShellBracket	LEFT BLACK TORTOISE SHELL BRACKET
2998	rightBlackTortoiseShellBracket	RIGHT BLACK TORTOISE SHELL BRACKET
2999	dottedFence	DOTTED FENCE
299A	verticalZigzagLine	VERTICAL ZIGZAG LINE
299B	measuredAngleOpeningLeft	MEASURED ANGLE OPENING LEFT
299C	rightAngleVariantWithSquare	RIGHT ANGLE VARIANT WITH SQUARE
299D	measuredRightAngleWithDot	MEASURED RIGHT ANGLE WITH DOT
299E	angleWithSInside	ANGLE WITH S INSIDE
