# Supplemental Mathematical Operators 02A00 - 02AFF
2A00	naryCircledDotOperator 	N-ARY CIRCLED DOT OPERATOR
2A01	naryCircledPlusOperator 	N-ARY CIRCLED PLUS OPERATOR
2A02	naryCircledTimesOperator 	N-ARY CIRCLED TIMES OPERATOR
2A03	naryUnionOperatorWithDot 	N-ARY UNION OPERATOR WITH DOT
2A04	naryUnionOperatorWithPlus 	N-ARY UNION OPERATOR WITH PLUS
2A05	narySquareIntersectionOperator 	N-ARY SQUARE INTERSECTION OPERATOR
2A06	narySquareUnionOperator 	N-ARY SQUARE UNION OPERATOR
2A07	twoLogicalAndOperator	TWO LOGICAL AND OPERATOR
2A08	twoLogicalOrOperator	TWO LOGICAL OR OPERATOR
2A09	naryTimesOperator 	N-ARY TIMES OPERATOR
2A0A	moduloTwoSum	MODULO TWO SUM
2A0B	summationWithIntegral	SUMMATION WITH INTEGRAL
2A0C	quadrupleIntegralOperator	QUADRUPLE INTEGRAL OPERATOR
2A0D	finitePartIntegral	FINITE PART INTEGRAL
2A0E	integralWithDoubleStroke	INTEGRAL WITH DOUBLE STROKE
2A0F	integralAverageWithSlash	INTEGRAL AVERAGE WITH SLASH
2A10	circulationFunction	CIRCULATION FUNCTION
2A11	anticlockwiseIntegration	ANTICLOCKWISE INTEGRATION
2A12	lineIntegrationWithRectangularPathAroundPole	LINE INTEGRATION WITH RECTANGULAR PATH AROUND POLE
2A13	lineIntegrationWithSemicircularPathAroundPole	LINE INTEGRATION WITH SEMICIRCULAR PATH AROUND POLE
2A14	lineIntegrationNotIncludingThePole	LINE INTEGRATION NOT INCLUDING THE POLE
2A15	integralAroundAPointOperator	INTEGRAL AROUND A POINT OPERATOR
2A16	quaternionIntegralOperator	QUATERNION INTEGRAL OPERATOR
2A17	integralWithLeftwardsArrowWithHook	INTEGRAL WITH LEFTWARDS ARROW WITH HOOK
2A18	integralWithTimesSign	INTEGRAL WITH TIMES SIGN
2A19	integralWithIntersection	INTEGRAL WITH INTERSECTION
2A1A	integralWithUnion	INTEGRAL WITH UNION
2A1B	integralWithOverbar	INTEGRAL WITH OVERBAR
2A1C	integralWithUnderbar	INTEGRAL WITH UNDERBAR
2A1D	join	JOIN
2A1E	largeLeftTriangleOperator	LARGE LEFT TRIANGLE OPERATOR
2A1F	zNotationSchemaComposition	Z NOTATION SCHEMA COMPOSITION
2A20	zNotationSchemaPiping	Z NOTATION SCHEMA PIPING
2A21	zNotationSchemaProjection	Z NOTATION SCHEMA PROJECTION
2A22	plusSignWithSmallCircleAbove	PLUS SIGN WITH SMALL CIRCLE ABOVE
2A23	plusSignWithCircumflexAccentAbove	PLUS SIGN WITH CIRCUMFLEX ACCENT ABOVE
2A24	plusSignWithTildeAbove	PLUS SIGN WITH TILDE ABOVE
2A25	plusSignWithDotBelow	PLUS SIGN WITH DOT BELOW
2A26	plusSignWithTildeBelow	PLUS SIGN WITH TILDE BELOW
2A27	plusSignWithSubscriptTwo	PLUS SIGN WITH SUBSCRIPT TWO
2A28	plusSignWithBlackTriangle	PLUS SIGN WITH BLACK TRIANGLE
2A29	minusSignWithCommaAbove	MINUS SIGN WITH COMMA ABOVE
2A2A	minusSignWithDotBelow	MINUS SIGN WITH DOT BELOW
2A2B	minusSignWithFallingDots	MINUS SIGN WITH FALLING DOTS
2A2C	minusSignWithRisingDots	MINUS SIGN WITH RISING DOTS
2A2D	plusSignInLeftHalfCircle	PLUS SIGN IN LEFT HALF CIRCLE
2A2E	plusSignInRightHalfCircle	PLUS SIGN IN RIGHT HALF CIRCLE
2A2F	vectorOrCrossProduct	VECTOR OR CROSS PRODUCT
2A30	multiplicationSignWithDotAbove	MULTIPLICATION SIGN WITH DOT ABOVE
2A31	multiplicationSignWithUnderbar	MULTIPLICATION SIGN WITH UNDERBAR
2A32	semidirectProductWithBottomClosed	SEMIDIRECT PRODUCT WITH BOTTOM CLOSED
2A33	smashProduct	SMASH PRODUCT
2A34	multiplicationSignInLeftHalfCircle	MULTIPLICATION SIGN IN LEFT HALF CIRCLE
2A35	multiplicationSignInRightHalfCircle	MULTIPLICATION SIGN IN RIGHT HALF CIRCLE
2A36	circledMultiplicationSignWithCircumflexAccent	CIRCLED MULTIPLICATION SIGN WITH CIRCUMFLEX ACCENT
2A37	multiplicationSignInDoubleCircle	MULTIPLICATION SIGN IN DOUBLE CIRCLE
2A38	circledDivisionSign	CIRCLED DIVISION SIGN
2A39	plusSignInTriangle	PLUS SIGN IN TRIANGLE
2A3A	minusSignInTriangle	MINUS SIGN IN TRIANGLE
2A3B	multiplicationSignInTriangle	MULTIPLICATION SIGN IN TRIANGLE
2A3C	interiorProduct	INTERIOR PRODUCT
2A3D	righthandInteriorProduct	RIGHTHAND INTERIOR PRODUCT
2A3E	zNotationRelationalComposition	Z NOTATION RELATIONAL COMPOSITION
2A3F	amalgamationOrCoproduct	AMALGAMATION OR COPRODUCT
2A40	intersectionWithDot	INTERSECTION WITH DOT
2A41	unionWithMinusSign	UNION WITH MINUS SIGN
2A42	unionWithOverbar	UNION WITH OVERBAR
2A43	intersectionWithOverbar	INTERSECTION WITH OVERBAR
2A44	intersectionWithLogicalAnd	INTERSECTION WITH LOGICAL AND
2A45	unionWithLogicalOr	UNION WITH LOGICAL OR
2A46	unionAboveIntersection	UNION ABOVE INTERSECTION
2A47	intersectionAboveUnion	INTERSECTION ABOVE UNION
2A48	unionAboveBarAboveIntersection	UNION ABOVE BAR ABOVE INTERSECTION
2A49	intersectionAboveBarAboveUnion	INTERSECTION ABOVE BAR ABOVE UNION
