# Miscellaneous Symbols and Arrows 02B00 - 02BFF
2B00	northEastWhiteArrow	NORTH EAST WHITE ARROW
2B01	northWestWhiteArrow	NORTH WEST WHITE ARROW
2B02	southEastWhiteArrow	SOUTH EAST WHITE ARROW
2B03	southWestWhiteArrow	SOUTH WEST WHITE ARROW
2B04	leftRightWhiteArrow	LEFT RIGHT WHITE ARROW
2B05	leftwardsBlackArrow	LEFTWARDS BLACK ARROW
2B06	upwardsBlackArrow	UPWARDS BLACK ARROW
2B07	downwardsBlackArrow	DOWNWARDS BLACK ARROW
2B08	northEastBlackArrow	NORTH EAST BLACK ARROW
2B09	northWestBlackArrow	NORTH WEST BLACK ARROW
2B0A	southEastBlackArrow	SOUTH EAST BLACK ARROW
2B0B	southWestBlackArrow	SOUTH WEST BLACK ARROW
2B0C	leftRightBlackArrow	LEFT RIGHT BLACK ARROW
2B0D	upDownBlackArrow	UP DOWN BLACK ARROW
2B0E	rightwardsArrowWithTipDownwards	RIGHTWARDS ARROW WITH TIP DOWNWARDS
2B0F	rightwardsArrowWithTipUpwards	RIGHTWARDS ARROW WITH TIP UPWARDS
2B10	leftwardsArrowWithTipDownwards	LEFTWARDS ARROW WITH TIP DOWNWARDS
2B11	leftwardsArrowWithTipUpwards	LEFTWARDS ARROW WITH TIP UPWARDS
2B12	squareWithTopHalfBlack	SQUARE WITH TOP HALF BLACK
2B13	squareWithBottomHalfBlack	SQUARE WITH BOTTOM HALF BLACK
2B14	squareWithUpperRightDiagonalHalfBlack	SQUARE WITH UPPER RIGHT DIAGONAL HALF BLACK
2B15	squareWithLowerLeftDiagonalHalfBlack	SQUARE WITH LOWER LEFT DIAGONAL HALF BLACK
2B16	diamondWithLeftHalfBlack	DIAMOND WITH LEFT HALF BLACK
2B17	diamondWithRightHalfBlack	DIAMOND WITH RIGHT HALF BLACK
2B18	diamondWithTopHalfBlack	DIAMOND WITH TOP HALF BLACK
2B19	diamondWithBottomHalfBlack	DIAMOND WITH BOTTOM HALF BLACK
2B1A	dottedSquare	DOTTED SQUARE
2B1B	blackLargeSquare	BLACK LARGE SQUARE
2B1C	whiteLargeSquare	WHITE LARGE SQUARE
2B1D	blackVerySmallSquare	BLACK VERY SMALL SQUARE
2B1E	whiteVerySmallSquare	WHITE VERY SMALL SQUARE
2B1F	blackPentagon	BLACK PENTAGON
2B20	whitePentagon	WHITE PENTAGON
2B21	whiteHexagon	WHITE HEXAGON
2B22	blackHexagon	BLACK HEXAGON
2B23	horizontalBlackHexagon	HORIZONTAL BLACK HEXAGON
2B24	blackLargeCircle	BLACK LARGE CIRCLE
2B25	blackMediumDiamond	BLACK MEDIUM DIAMOND
2B26	whiteMediumDiamond	WHITE MEDIUM DIAMOND
2B27	blackMediumLozenge	BLACK MEDIUM LOZENGE
2B28	whiteMediumLozenge	WHITE MEDIUM LOZENGE
2B29	blackSmallDiamond	BLACK SMALL DIAMOND
2B2A	blackSmallLozenge	BLACK SMALL LOZENGE
2B2B	whiteSmallLozenge	WHITE SMALL LOZENGE
2B2C	blackHorizontalEllipse	BLACK HORIZONTAL ELLIPSE
2B2D	whiteHorizontalEllipse	WHITE HORIZONTAL ELLIPSE
2B2E	blackVerticalEllipse	BLACK VERTICAL ELLIPSE
2B2F	whiteVerticalEllipse	WHITE VERTICAL ELLIPSE
2B30	leftArrowWithSmallCircle	LEFT ARROW WITH SMALL CIRCLE
2B31	threeLeftwardsArrows	THREE LEFTWARDS ARROWS
2B32	leftArrowWithCircledPlus	LEFT ARROW WITH CIRCLED PLUS
2B33	longLeftwardsSquiggleArrow	LONG LEFTWARDS SQUIGGLE ARROW
2B34	leftwardsTwoheadedArrowWithVerticalStroke 	LEFTWARDS TWO-HEADED ARROW WITH VERTICAL STROKE
2B35	leftwardsTwoheadedArrowWithDoubleVerticalStroke 	LEFTWARDS TWO-HEADED ARROW WITH DOUBLE VERTICAL STROKE
2B36	leftwardsTwoheadedArrowFromBar 	LEFTWARDS TWO-HEADED ARROW FROM BAR
2B37	leftwardsTwoheadedTripleDashArrow 	LEFTWARDS TWO-HEADED TRIPLE DASH ARROW
2B38	leftwardsArrowWithDottedStem	LEFTWARDS ARROW WITH DOTTED STEM
2B39	leftwardsArrowWithTailWithVerticalStroke	LEFTWARDS ARROW WITH TAIL WITH VERTICAL STROKE
2B3A	leftwardsArrowWithTailWithDoubleVerticalStroke	LEFTWARDS ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE
2B3B	leftwardsTwoheadedArrowWithTail 	LEFTWARDS TWO-HEADED ARROW WITH TAIL
2B3C	leftwardsTwoheadedArrowWithTailWithVerticalStroke 	LEFTWARDS TWO-HEADED ARROW WITH TAIL WITH VERTICAL STROKE
2B3D	leftwardsTwoheadedArrowWithTailWithDoubleVerticalStroke 	LEFTWARDS TWO-HEADED ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE
2B3E	leftwardsArrowThroughX	LEFTWARDS ARROW THROUGH X
2B3F	waveArrowPointingDirectlyLeft	WAVE ARROW POINTING DIRECTLY LEFT
2B40	equalsSignAboveLeftwardsArrow	EQUALS SIGN ABOVE LEFTWARDS ARROW
2B41	reverseTildeOperatorAboveLeftwardsArrow	REVERSE TILDE OPERATOR ABOVE LEFTWARDS ARROW
2B42	leftwardsArrowAboveReverseAlmostEqualTo	LEFTWARDS ARROW ABOVE REVERSE ALMOST EQUAL TO
2B43	rightwardsArrowThroughGreaterthan 	RIGHTWARDS ARROW THROUGH GREATER-THAN
2B44	rightwardsArrowThroughSuperset	RIGHTWARDS ARROW THROUGH SUPERSET
2B45	leftwardsQuadrupleArrow	LEFTWARDS QUADRUPLE ARROW
2B46	rightwardsQuadrupleArrow	RIGHTWARDS QUADRUPLE ARROW
2B47	reverseTildeOperatorAboveRightwardsArrow	REVERSE TILDE OPERATOR ABOVE RIGHTWARDS ARROW
2B48	rightwardsArrowAboveReverseAlmostEqualTo	RIGHTWARDS ARROW ABOVE REVERSE ALMOST EQUAL TO
2B49	tildeOperatorAboveLeftwardsArrow	TILDE OPERATOR ABOVE LEFTWARDS ARROW
