# Ethiopic Extended 02D80 - 02DDF
2D80	ethi:loa	ETHIOPIC SYLLABLE LOA
2D81	ethi:moa	ETHIOPIC SYLLABLE MOA
2D82	ethi:roa	ETHIOPIC SYLLABLE ROA
2D83	ethi:soa	ETHIOPIC SYLLABLE SOA
2D84	ethi:shoa	ETHIOPIC SYLLABLE SHOA
2D85	ethi:boa	ETHIOPIC SYLLABLE BOA
2D86	ethi:toa	ETHIOPIC SYLLABLE TOA
2D87	ethi:coa	ETHIOPIC SYLLABLE COA
2D88	ethi:noa	ETHIOPIC SYLLABLE NOA
2D89	ethi:nyoa	ETHIOPIC SYLLABLE NYOA
2D8A	ethi:oaglottal	ETHIOPIC SYLLABLE GLOTTAL OA
2D8B	ethi:zoa	ETHIOPIC SYLLABLE ZOA
2D8C	ethi:doa	ETHIOPIC SYLLABLE DOA
2D8D	ethi:ddoa	ETHIOPIC SYLLABLE DDOA
2D8E	ethi:joa	ETHIOPIC SYLLABLE JOA
2D8F	ethi:thoa	ETHIOPIC SYLLABLE THOA
2D90	ethi:choa	ETHIOPIC SYLLABLE CHOA
2D91	ethi:phoa	ETHIOPIC SYLLABLE PHOA
2D92	ethi:poa	ETHIOPIC SYLLABLE POA
2D93	ethi:ggwa	ETHIOPIC SYLLABLE GGWA
2D94	ethi:ggwi	ETHIOPIC SYLLABLE GGWI
2D95	ethi:ggwee	ETHIOPIC SYLLABLE GGWEE
2D96	ethi:ggwe	ETHIOPIC SYLLABLE GGWE
2DA0	ethi:ssa	ETHIOPIC SYLLABLE SSA
2DA1	ethi:ssu	ETHIOPIC SYLLABLE SSU
2DA2	ethi:ssi	ETHIOPIC SYLLABLE SSI
2DA3	ethi:ssaa	ETHIOPIC SYLLABLE SSAA
2DA4	ethi:ssee	ETHIOPIC SYLLABLE SSEE
2DA5	ethi:sse	ETHIOPIC SYLLABLE SSE
2DA6	ethi:sso	ETHIOPIC SYLLABLE SSO
2DA8	ethi:cca	ETHIOPIC SYLLABLE CCA
2DA9	ethi:ccu	ETHIOPIC SYLLABLE CCU
2DAA	ethi:cci	ETHIOPIC SYLLABLE CCI
2DAB	ethi:ccaa	ETHIOPIC SYLLABLE CCAA
2DAC	ethi:ccee	ETHIOPIC SYLLABLE CCEE
2DAD	ethi:cce	ETHIOPIC SYLLABLE CCE
2DAE	ethi:cco	ETHIOPIC SYLLABLE CCO
2DB0	ethi:zza	ETHIOPIC SYLLABLE ZZA
2DB1	ethi:zzu	ETHIOPIC SYLLABLE ZZU
2DB2	ethi:zzi	ETHIOPIC SYLLABLE ZZI
2DB3	ethi:zzaa	ETHIOPIC SYLLABLE ZZAA
2DB4	ethi:zzee	ETHIOPIC SYLLABLE ZZEE
2DB5	ethi:zze	ETHIOPIC SYLLABLE ZZE
2DB6	ethi:zzo	ETHIOPIC SYLLABLE ZZO
2DB8	ethi:ccha	ETHIOPIC SYLLABLE CCHA
2DB9	ethi:cchu	ETHIOPIC SYLLABLE CCHU
2DBA	ethi:cchi	ETHIOPIC SYLLABLE CCHI
2DBB	ethi:cchaa	ETHIOPIC SYLLABLE CCHAA
2DBC	ethi:cchee	ETHIOPIC SYLLABLE CCHEE
2DBD	ethi:cche	ETHIOPIC SYLLABLE CCHE
2DBE	ethi:ccho	ETHIOPIC SYLLABLE CCHO
2DC0	ethi:qya	ETHIOPIC SYLLABLE QYA
2DC1	ethi:qyu	ETHIOPIC SYLLABLE QYU
2DC2	ethi:qyi	ETHIOPIC SYLLABLE QYI
2DC3	ethi:qyaa	ETHIOPIC SYLLABLE QYAA
2DC4	ethi:qyee	ETHIOPIC SYLLABLE QYEE
2DC5	ethi:qye	ETHIOPIC SYLLABLE QYE
2DC6	ethi:qyo	ETHIOPIC SYLLABLE QYO
2DC8	ethi:kya	ETHIOPIC SYLLABLE KYA
2DC9	ethi:kyu	ETHIOPIC SYLLABLE KYU
2DCA	ethi:kyi	ETHIOPIC SYLLABLE KYI
2DCB	ethi:kyaa	ETHIOPIC SYLLABLE KYAA
2DCC	ethi:kyee	ETHIOPIC SYLLABLE KYEE
2DCD	ethi:kye	ETHIOPIC SYLLABLE KYE
2DCE	ethi:kyo	ETHIOPIC SYLLABLE KYO
2DD0	ethi:xya	ETHIOPIC SYLLABLE XYA
2DD1	ethi:xyu	ETHIOPIC SYLLABLE XYU
2DD2	ethi:xyi	ETHIOPIC SYLLABLE XYI
2DD3	ethi:xyaa	ETHIOPIC SYLLABLE XYAA
2DD4	ethi:xyee	ETHIOPIC SYLLABLE XYEE
2DD5	ethi:xye	ETHIOPIC SYLLABLE XYE
2DD6	ethi:xyo	ETHIOPIC SYLLABLE XYO
2DD8	ethi:gya	ETHIOPIC SYLLABLE GYA
2DD9	ethi:gyu	ETHIOPIC SYLLABLE GYU
2DDA	ethi:gyi	ETHIOPIC SYLLABLE GYI
2DDB	ethi:gyaa	ETHIOPIC SYLLABLE GYAA
2DDC	ethi:gyee	ETHIOPIC SYLLABLE GYEE
2DDD	ethi:gye	ETHIOPIC SYLLABLE GYE
2DDE	ethi:gyo	ETHIOPIC SYLLABLE GYO
