# Ethiopic Extended-A 0AB00 - 0AB2F
AB01	ethi:tthu	ETHIOPIC SYLLABLE TTHU
AB02	ethi:tthi	ETHIOPIC SYLLABLE TTHI
AB03	ethi:tthaa	ETHIOPIC SYLLABLE TTHAA
AB04	ethi:tthee	ETHIOPIC SYLLABLE TTHEE
AB05	ethi:tthe	ETHIOPIC SYLLABLE TTHE
AB06	ethi:ttho	ETHIOPIC SYLLABLE TTHO
AB09	ethi:ddhu	ETHIOPIC SYLLABLE DDHU
AB0A	ethi:ddhi	ETHIOPIC SYLLABLE DDHI
AB0B	ethi:ddhaa	ETHIOPIC SYLLABLE DDHAA
AB0C	ethi:ddhee	ETHIOPIC SYLLABLE DDHEE
AB0D	ethi:ddhe	ETHIOPIC SYLLABLE DDHE
AB0E	ethi:ddho	ETHIOPIC SYLLABLE DDHO
AB11	ethi:dzu	ETHIOPIC SYLLABLE DZU
AB12	ethi:dzi	ETHIOPIC SYLLABLE DZI
AB13	ethi:dzaa	ETHIOPIC SYLLABLE DZAA
AB14	ethi:dzee	ETHIOPIC SYLLABLE DZEE
AB15	ethi:dze	ETHIOPIC SYLLABLE DZE
AB16	ethi:dzo	ETHIOPIC SYLLABLE DZO
AB20	ethi:cchha	ETHIOPIC SYLLABLE CCHHA
AB21	ethi:cchhu	ETHIOPIC SYLLABLE CCHHU
AB22	ethi:cchhi	ETHIOPIC SYLLABLE CCHHI
AB23	ethi:cchhaa	ETHIOPIC SYLLABLE CCHHAA
AB24	ethi:cchhee	ETHIOPIC SYLLABLE CCHHEE
AB25	ethi:cchhe	ETHIOPIC SYLLABLE CCHHE
AB26	ethi:cchho	ETHIOPIC SYLLABLE CCHHO
AB28	ethi:bba	ETHIOPIC SYLLABLE BBA
AB29	ethi:bbu	ETHIOPIC SYLLABLE BBU
AB2A	ethi:bbi	ETHIOPIC SYLLABLE BBI
AB2B	ethi:bbaa	ETHIOPIC SYLLABLE BBAA
AB2C	ethi:bbee	ETHIOPIC SYLLABLE BBEE
AB2D	ethi:bbe	ETHIOPIC SYLLABLE BBE
AB2E	ethi:bbo	ETHIOPIC SYLLABLE BBO
