# Soyombo 11A50 - 11AAF
11A50	soyo:a	SOYOMBO LETTER A
11A51	soyo:iVowelSign	SOYOMBO VOWEL SIGN I
11A52	soyo:ueVowelSign	SOYOMBO VOWEL SIGN UE
11A53	soyo:uVowelSign	SOYOMBO VOWEL SIGN U
11A54	soyo:eVowelSign	SOYOMBO VOWEL SIGN E
11A55	soyo:oVowelSign	SOYOMBO VOWEL SIGN O
11A56	soyo:oeVowelSign	SOYOMBO VOWEL SIGN OE
11A57	soyo:aiVowelSign	SOYOMBO VOWEL SIGN AI
11A58	soyo:auVowelSign	SOYOMBO VOWEL SIGN AU
11A59	soyo:vocalicRVowelSign	SOYOMBO VOWEL SIGN VOCALIC R
11A5A	soyo:vocalicLVowelSign	SOYOMBO VOWEL SIGN VOCALIC L
11A5B	soyo:vowelLengthMark	SOYOMBO VOWEL LENGTH MARK
11A5C	soyo:ka	SOYOMBO LETTER KA
11A5D	soyo:kha	SOYOMBO LETTER KHA
11A5E	soyo:ga	SOYOMBO LETTER GA
11A5F	soyo:gha	SOYOMBO LETTER GHA
11A60	soyo:nga	SOYOMBO LETTER NGA
11A61	soyo:ca	SOYOMBO LETTER CA
11A62	soyo:cha	SOYOMBO LETTER CHA
11A63	soyo:ja	SOYOMBO LETTER JA
11A64	soyo:jha	SOYOMBO LETTER JHA
11A65	soyo:nya	SOYOMBO LETTER NYA
11A66	soyo:tta	SOYOMBO LETTER TTA
11A67	soyo:ttha	SOYOMBO LETTER TTHA
11A68	soyo:dda	SOYOMBO LETTER DDA
11A69	soyo:ddha	SOYOMBO LETTER DDHA
11A6A	soyo:nna	SOYOMBO LETTER NNA
11A6B	soyo:ta	SOYOMBO LETTER TA
11A6C	soyo:tha	SOYOMBO LETTER THA
11A6D	soyo:da	SOYOMBO LETTER DA
11A6E	soyo:dha	SOYOMBO LETTER DHA
11A6F	soyo:na	SOYOMBO LETTER NA
11A70	soyo:pa	SOYOMBO LETTER PA
11A71	soyo:pha	SOYOMBO LETTER PHA
11A72	soyo:ba	SOYOMBO LETTER BA
11A73	soyo:bha	SOYOMBO LETTER BHA
11A74	soyo:ma	SOYOMBO LETTER MA
11A75	soyo:tsa	SOYOMBO LETTER TSA
11A76	soyo:tsha	SOYOMBO LETTER TSHA
11A77	soyo:dza	SOYOMBO LETTER DZA
11A78	soyo:zha	SOYOMBO LETTER ZHA
11A79	soyo:za	SOYOMBO LETTER ZA
11A7A	soyo:-a	SOYOMBO LETTER -A
11A7B	soyo:ya	SOYOMBO LETTER YA
11A7C	soyo:ra	SOYOMBO LETTER RA
11A7D	soyo:la	SOYOMBO LETTER LA
11A7E	soyo:va	SOYOMBO LETTER VA
11A7F	soyo:sha	SOYOMBO LETTER SHA
11A80	soyo:ssa	SOYOMBO LETTER SSA
11A81	soyo:sa	SOYOMBO LETTER SA
11A82	soyo:ha	SOYOMBO LETTER HA
11A83	soyo:kssa	SOYOMBO LETTER KSSA
11A84	soyo:signJihvamuliya	SOYOMBO SIGN JIHVAMULIYA
11A85	soyo:signUpadhmaniya	SOYOMBO SIGN UPADHMANIYA
11A86	soyo:raClusterInitial	SOYOMBO CLUSTER-INITIAL LETTER RA
11A87	soyo:laClusterInitial	SOYOMBO CLUSTER-INITIAL LETTER LA
11A88	soyo:shaClusterInitial	SOYOMBO CLUSTER-INITIAL LETTER SHA
11A89	soyo:saClusterInitial	SOYOMBO CLUSTER-INITIAL LETTER SA
11A8A	soyo:finalConsonantSignG	SOYOMBO FINAL CONSONANT SIGN G
11A8B	soyo:finalConsonantSignK	SOYOMBO FINAL CONSONANT SIGN K
11A8C	soyo:finalConsonantSignNg	SOYOMBO FINAL CONSONANT SIGN NG
11A8D	soyo:finalConsonantSignD	SOYOMBO FINAL CONSONANT SIGN D
11A8E	soyo:finalConsonantSignN	SOYOMBO FINAL CONSONANT SIGN N
11A8F	soyo:finalConsonantSignB	SOYOMBO FINAL CONSONANT SIGN B
11A90	soyo:finalConsonantSignM	SOYOMBO FINAL CONSONANT SIGN M
11A91	soyo:finalConsonantSignR	SOYOMBO FINAL CONSONANT SIGN R
11A92	soyo:finalConsonantSignL	SOYOMBO FINAL CONSONANT SIGN L
11A93	soyo:finalConsonantSignSh	SOYOMBO FINAL CONSONANT SIGN SH
11A94	soyo:finalConsonantSignS	SOYOMBO FINAL CONSONANT SIGN S
11A95	soyo:finalConsonantSign-a	SOYOMBO FINAL CONSONANT SIGN -A
11A96	soyo:signAnusvara	SOYOMBO SIGN ANUSVARA
11A97	soyo:signVisarga	SOYOMBO SIGN VISARGA
11A98	soyo:geminationMark	SOYOMBO GEMINATION MARK
11A99	soyo:subjoiner	SOYOMBO SUBJOINER
11A9A	soyo:markTsheg	SOYOMBO MARK TSHEG
11A9B	soyo:markShad	SOYOMBO MARK SHAD
11A9C	soyo:markDoubleShad	SOYOMBO MARK DOUBLE SHAD
11A9D	soyo:markPluta	SOYOMBO MARK PLUTA
11A9E	soyo:headMarkWithMoonAndSunAndTripleFlame	SOYOMBO HEAD MARK WITH MOON AND SUN AND TRIPLE FLAME
11A9F	soyo:headMarkWithMoonAndSunAndFlame	SOYOMBO HEAD MARK WITH MOON AND SUN AND FLAME
11AA0	soyo:headMarkWithMoonAndSun	SOYOMBO HEAD MARK WITH MOON AND SUN
11AA1	soyo:terminalMark-1	SOYOMBO TERMINAL MARK-1
11AA2	soyo:terminalMark-2	SOYOMBO TERMINAL MARK-2
