# Ethiopic Extended-B 1E7E0 - 1E7FF
1E7E0	ethi:hhya	ETHIOPIC SYLLABLE HHYA
1E7E1	ethi:hhyu	ETHIOPIC SYLLABLE HHYU
1E7E2	ethi:hhyi	ETHIOPIC SYLLABLE HHYI
1E7E3	ethi:hhyaa	ETHIOPIC SYLLABLE HHYAA
1E7E4	ethi:hhyee	ETHIOPIC SYLLABLE HHYEE
1E7E5	ethi:hhye	ETHIOPIC SYLLABLE HHYE
1E7E6	ethi:hhyo	ETHIOPIC SYLLABLE HHYO
1E7E8	ethi:hhwagurage	ETHIOPIC SYLLABLE GURAGE HHWA
1E7E9	ethi:hhwi	ETHIOPIC SYLLABLE HHWI
1E7EA	ethi:hhwee	ETHIOPIC SYLLABLE HHWEE
1E7EB	ethi:hhwe	ETHIOPIC SYLLABLE HHWE
1E7ED	ethi:mwigurage	ETHIOPIC SYLLABLE GURAGE MWI
1E7EE	ethi:mweegurage	ETHIOPIC SYLLABLE GURAGE MWEE
1E7F0	ethi:qwigurage	ETHIOPIC SYLLABLE GURAGE QWI
1E7F1	ethi:qweegurage	ETHIOPIC SYLLABLE GURAGE QWEE
1E7F2	ethi:qwegurage	ETHIOPIC SYLLABLE GURAGE QWE
1E7F3	ethi:bwigurage	ETHIOPIC SYLLABLE GURAGE BWI
1E7F4	ethi:bweegurage	ETHIOPIC SYLLABLE GURAGE BWEE
1E7F5	ethi:kwigurage	ETHIOPIC SYLLABLE GURAGE KWI
1E7F6	ethi:kweegurage	ETHIOPIC SYLLABLE GURAGE KWEE
1E7F7	ethi:kwegurage	ETHIOPIC SYLLABLE GURAGE KWE
1E7F8	ethi:gwigurage	ETHIOPIC SYLLABLE GURAGE GWI
1E7F9	ethi:gweegurage	ETHIOPIC SYLLABLE GURAGE GWEE
1E7FA	ethi:gwegurage	ETHIOPIC SYLLABLE GURAGE GWE
1E7FB	ethi:fwigurage	ETHIOPIC SYLLABLE GURAGE FWI
1E7FC	ethi:fweegurage	ETHIOPIC SYLLABLE GURAGE FWEE
1E7FD	ethi:pwigurage	ETHIOPIC SYLLABLE GURAGE PWI
1E7FE	ethi:pweegurage	ETHIOPIC SYLLABLE GURAGE PWEE
