# Mahjong Tiles 1F000 - 1F02F
1F000	eastWindMahjong	MAHJONG TILE EAST WIND
1F001	southWindMahjong	MAHJONG TILE SOUTH WIND
1F002	westWindMahjong	MAHJONG TILE WEST WIND
1F003	northWindMahjong	MAHJONG TILE NORTH WIND
1F004	redDragonMahjong	MAHJONG TILE RED DRAGON
1F005	greenDragonMahjong	MAHJONG TILE GREEN DRAGON
1F006	whiteDragonMahjong	MAHJONG TILE WHITE DRAGON
1F007	oneOfCharactersMahjong	MAHJONG TILE ONE OF CHARACTERS
1F008	twoOfCharactersMahjong	MAHJONG TILE TWO OF CHARACTERS
1F009	threeOfCharactersMahjong	MAHJONG TILE THREE OF CHARACTERS
1F00A	fourOfCharactersMahjong	MAHJONG TILE FOUR OF CHARACTERS
1F00B	fiveOfCharactersMahjong	MAHJONG TILE FIVE OF CHARACTERS
1F00C	sixOfCharactersMahjong	MAHJONG TILE SIX OF CHARACTERS
1F00D	sevenOfCharactersMahjong	MAHJONG TILE SEVEN OF CHARACTERS
1F00E	eightOfCharactersMahjong	MAHJONG TILE EIGHT OF CHARACTERS
1F00F	nineOfCharactersMahjong	MAHJONG TILE NINE OF CHARACTERS
1F010	oneOfBamboosMahjong	MAHJONG TILE ONE OF BAMBOOS
1F011	twoOfBamboosMahjong	MAHJONG TILE TWO OF BAMBOOS
1F012	threeOfBamboosMahjong	MAHJONG TILE THREE OF BAMBOOS
1F013	fourOfBamboosMahjong	MAHJONG TILE FOUR OF BAMBOOS
1F014	fiveOfBamboosMahjong	MAHJONG TILE FIVE OF BAMBOOS
1F015	sixOfBamboosMahjong	MAHJONG TILE SIX OF BAMBOOS
1F016	sevenOfBamboosMahjong	MAHJONG TILE SEVEN OF BAMBOOS
1F017	eightOfBamboosMahjong	MAHJONG TILE EIGHT OF BAMBOOS
1F018	nineOfBamboosMahjong	MAHJONG TILE NINE OF BAMBOOS
1F019	oneOfCirclesMahjong	MAHJONG TILE ONE OF CIRCLES
1F01A	twoOfCirclesMahjong	MAHJONG TILE TWO OF CIRCLES
1F01B	threeOfCirclesMahjong	MAHJONG TILE THREE OF CIRCLES
1F01C	fourOfCirclesMahjong	MAHJONG TILE FOUR OF CIRCLES
1F01D	fiveOfCirclesMahjong	MAHJONG TILE FIVE OF CIRCLES
1F01E	sixOfCirclesMahjong	MAHJONG TILE SIX OF CIRCLES
1F01F	sevenOfCirclesMahjong	MAHJONG TILE SEVEN OF CIRCLES
1F020	eightOfCirclesMahjong	MAHJONG TILE EIGHT OF CIRCLES
1F021	nineOfCirclesMahjong	MAHJONG TILE NINE OF CIRCLES
1F022	plumMahjong	MAHJONG TILE PLUM
1F023	orchidMahjong	MAHJONG TILE ORCHID
1F024	bambooMahjong	MAHJONG TILE BAMBOO
1F025	chrysanthemumMahjong	MAHJONG TILE CHRYSANTHEMUM
1F026	springMahjong	MAHJONG TILE SPRING
1F027	summerMahjong	MAHJONG TILE SUMMER
1F028	autumnMahjong	MAHJONG TILE AUTUMN
1F029	winterMahjong	MAHJONG TILE WINTER
1F02A	jokerMahjong	MAHJONG TILE JOKER
1F02B	backMahjong	MAHJONG TILE BACK
