# Chess Symbols 1FA00 - 1FA6F
1FA00	neutralKing	NEUTRAL CHESS KING
1FA01	neutralQueen	NEUTRAL CHESS QUEEN
1FA02	neutralRook	NEUTRAL CHESS ROOK
1FA03	neutralBishop	NEUTRAL CHESS BISHOP
1FA04	neutralKnight	NEUTRAL CHESS KNIGHT
1FA05	neutralPawn	NEUTRAL CHESS PAWN
1FA06	whiteKnight45	WHITE CHESS KNIGHT ROTATED FORTY-FIVE DEGREES
1FA07	blackKnight45	BLACK CHESS KNIGHT ROTATED FORTY-FIVE DEGREES
1FA08	neutralKnight45	NEUTRAL CHESS KNIGHT ROTATED FORTY-FIVE DEGREES
1FA09	whiteKing90	WHITE CHESS KING ROTATED NINETY DEGREES
1FA0A	whiteQueen90	WHITE CHESS QUEEN ROTATED NINETY DEGREES
1FA0B	whiteRook90	WHITE CHESS ROOK ROTATED NINETY DEGREES
1FA0C	whiteBishop90	WHITE CHESS BISHOP ROTATED NINETY DEGREES
1FA0D	whiteKnight90	WHITE CHESS KNIGHT ROTATED NINETY DEGREES
1FA0E	whitePawn90	WHITE CHESS PAWN ROTATED NINETY DEGREES
1FA0F	blackKing90	BLACK CHESS KING ROTATED NINETY DEGREES
1FA10	blackQueen90	BLACK CHESS QUEEN ROTATED NINETY DEGREES
1FA11	blackRook90	BLACK CHESS ROOK ROTATED NINETY DEGREES
1FA12	blackBishop90	BLACK CHESS BISHOP ROTATED NINETY DEGREES
1FA13	blackKnight90	BLACK CHESS KNIGHT ROTATED NINETY DEGREES
1FA14	blackPawn90	BLACK CHESS PAWN ROTATED NINETY DEGREES
1FA15	neutralKing90	NEUTRAL CHESS KING ROTATED NINETY DEGREES
1FA16	neutralQueen90	NEUTRAL CHESS QUEEN ROTATED NINETY DEGREES
1FA17	neutralRook90	NEUTRAL CHESS ROOK ROTATED NINETY DEGREES
1FA18	neutralBishop90	NEUTRAL CHESS BISHOP ROTATED NINETY DEGREES
1FA19	neutralKnight90	NEUTRAL CHESS KNIGHT ROTATED NINETY DEGREES
1FA1A	neutralPawn90	NEUTRAL CHESS PAWN ROTATED NINETY DEGREES
1FA1B	whiteKnight135	WHITE CHESS KNIGHT ROTATED ONE HUNDRED THIRTY-FIVE DEGREES
1FA1C	blackKnight135	BLACK CHESS KNIGHT ROTATED ONE HUNDRED THIRTY-FIVE DEGREES
1FA1D	neutralKnight135	NEUTRAL CHESS KNIGHT ROTATED ONE HUNDRED THIRTY-FIVE DEGREES
1FA1E	whiteKingTurned	WHITE CHESS TURNED KING
1FA1F	whiteQueenTurned	WHITE CHESS TURNED QUEEN
1FA20	whiteRookTurned	WHITE CHESS TURNED ROOK
1FA21	whiteBishopTurned	WHITE CHESS TURNED BISHOP
1FA22	whiteKnightTurned	WHITE CHESS TURNED KNIGHT
1FA23	whitePawnTurned	WHITE CHESS TURNED PAWN
1FA24	blackKingTurned	BLACK CHESS TURNED KING
1FA25	blackQueenTurned	BLACK CHESS TURNED QUEEN
1FA26	blackRookTurned	BLACK CHESS TURNED ROOK
1FA27	blackBishopTurned	BLACK CHESS TURNED BISHOP
1FA28	blackKnightTurned	BLACK CHESS TURNED KNIGHT
1FA29	blackPawnTurned	BLACK CHESS TURNED PAWN
1FA2A	neutralKingTurned	NEUTRAL CHESS TURNED KING
1FA2B	neutralQueenTurned	NEUTRAL CHESS TURNED QUEEN
1FA2C	neutralRookTurned	NEUTRAL CHESS TURNED ROOK
1FA2D	neutralBishopTurned	NEUTRAL CHESS TURNED BISHOP
1FA2E	neutralKnightTurned	NEUTRAL CHESS TURNED KNIGHT
1FA2F	neutralPawnTurned	NEUTRAL CHESS TURNED PAWN
1FA30	whiteKnight225	WHITE CHESS KNIGHT ROTATED TWO HUNDRED TWENTY-FIVE DEGREES
1FA31	blackKnight225	BLACK CHESS KNIGHT ROTATED TWO HUNDRED TWENTY-FIVE DEGREES
1FA32	neutralKnight225	NEUTRAL CHESS KNIGHT ROTATED TWO HUNDRED TWENTY-FIVE DEGREES
1FA33	whiteKing270	WHITE CHESS KING ROTATED TWO HUNDRED SEVENTY DEGREES
1FA34	whiteQueen270	WHITE CHESS QUEEN ROTATED TWO HUNDRED SEVENTY DEGREES
1FA35	whiteRook270	WHITE CHESS ROOK ROTATED TWO HUNDRED SEVENTY DEGREES
1FA36	whiteBishop270	WHITE CHESS BISHOP ROTATED TWO HUNDRED SEVENTY DEGREES
1FA37	whiteKnight270	WHITE CHESS KNIGHT ROTATED TWO HUNDRED SEVENTY DEGREES
1FA38	whitePawn270	WHITE CHESS PAWN ROTATED TWO HUNDRED SEVENTY DEGREES
1FA39	blackKing270	BLACK CHESS KING ROTATED TWO HUNDRED SEVENTY DEGREES
1FA3A	blackQueen270	BLACK CHESS QUEEN ROTATED TWO HUNDRED SEVENTY DEGREES
1FA3B	blackRook270	BLACK CHESS ROOK ROTATED TWO HUNDRED SEVENTY DEGREES
1FA3C	blackBishop270	BLACK CHESS BISHOP ROTATED TWO HUNDRED SEVENTY DEGREES
1FA3D	blackKnight270	BLACK CHESS KNIGHT ROTATED TWO HUNDRED SEVENTY DEGREES
1FA3E	blackPawn270	BLACK CHESS PAWN ROTATED TWO HUNDRED SEVENTY DEGREES
