# Symbols and Pictographs Extended-A 1FA70 - 1FAFF
1FA70	balletShoes	BALLET SHOES
1FA71	onepieceSwimsuit 	ONE-PIECE SWIMSUIT
1FA72	briefs	BRIEFS
1FA73	shorts	SHORTS
1FA74	thongSandal	THONG SANDAL
1FA75	lightBlueHeart	LIGHT BLUE HEART
1FA76	greyHeart	GREY HEART
1FA77	pinkHeart	PINK HEART
1FA78	dropOfBlood	DROP OF BLOOD
1FA79	adhesiveBandage	ADHESIVE BANDAGE
1FA7A	stethoscope	STETHOSCOPE
1FA7B	xray 	X-RAY
1FA7C	crutch	CRUTCH
1FA80	yoyo 	YO-YO
1FA81	kite	KITE
1FA82	parachute	PARACHUTE
1FA83	boomerang	BOOMERANG
1FA84	magicWand	MAGIC WAND
1FA85	pinata	PINATA
1FA86	nestingDolls	NESTING DOLLS
1FA87	maracas	MARACAS
1FA88	flute	FLUTE
1FA89	harp	HARP
1FA8F	shovel	SHOVEL
1FA90	ringedPlanet	RINGED PLANET
1FA91	symb:chair	CHAIR
1FA92	razor	RAZOR
1FA93	axe	AXE
1FA94	diyaLamp	DIYA LAMP
1FA95	banjo	BANJO
1FA96	militaryHelmet	MILITARY HELMET
1FA97	accordion	ACCORDION
1FA98	longDrum	LONG DRUM
1FA99	coin	COIN
1FA9A	carpentrySaw	CARPENTRY SAW
1FA9B	screwdriver	SCREWDRIVER
1FA9C	ladder	LADDER
1FA9D	symb:hook	HOOK
1FA9E	mirror	MIRROR
1FA9F	window	WINDOW
1FAA0	plunger	PLUNGER
1FAA1	sewingNeedle	SEWING NEEDLE
1FAA2	knot	KNOT
1FAA3	bucket	BUCKET
1FAA4	mouseTrap	MOUSE TRAP
1FAA5	toothbrush	TOOTHBRUSH
1FAA6	headstone	HEADSTONE
1FAA7	placard	PLACARD
1FAA8	rock	ROCK
1FAA9	mirrorBall	MIRROR BALL
1FAAA	identificationCard	IDENTIFICATION CARD
1FAAB	lowBattery	LOW BATTERY
1FAAC	hamsa	HAMSA
1FAAD	foldingHandFan	FOLDING HAND FAN
1FAAE	hairPick	HAIR PICK
1FAAF	khanda	KHANDA
1FAB0	fly	FLY
1FAB1	worm	WORM
1FAB2	beetle	BEETLE
1FAB3	cockroach	COCKROACH
1FAB4	pottedPlant	POTTED PLANT
1FAB5	wood	WOOD
1FAB6	feather	FEATHER
1FAB7	lotus	LOTUS
1FAB8	coral	CORAL
1FAB9	emptyNest	EMPTY NEST
1FABA	nestWithEggs	NEST WITH EGGS
1FABB	hyacinth	HYACINTH
1FABC	jellyfish	JELLYFISH
1FABD	wing	WING
1FABE	leaflessTree	LEAFLESS TREE
1FABF	goose	GOOSE
1FAC0	anatomicalHeart	ANATOMICAL HEART
1FAC1	lungs	LUNGS
1FAC2	peopleHugging	PEOPLE HUGGING
1FAC3	pregnantMan	PREGNANT MAN
1FAC4	pregnantPerson	PREGNANT PERSON
1FAC5	personWithCrown	PERSON WITH CROWN
1FAC6	fingerprint	FINGERPRINT
1FACE	moose	MOOSE
1FACF	donkey	DONKEY
1FAD0	blueberries	BLUEBERRIES
1FAD1	bellPepper	BELL PEPPER
1FAD2	olive	OLIVE
1FAD3	flatbread	FLATBREAD
1FAD4	tamale	TAMALE
1FAD5	fondue	FONDUE
1FAD6	teapot	TEAPOT
1FAD7	pouringLiquid	POURING LIQUID
1FAD8	beans	BEANS
1FAD9	jar	JAR
1FADA	gingerRoot	GINGER ROOT
1FADB	peaPod	PEA POD
1FADC	rootVegetable	ROOT VEGETABLE
1FADF	splatter	SPLATTER
1FAE0	meltingFace	MELTING FACE
1FAE1	salutingFace	SALUTING FACE
1FAE2	faceWithOpenEyesAndHandOverMouth	FACE WITH OPEN EYES AND HAND OVER MOUTH
1FAE3	faceWithPeekingEye	FACE WITH PEEKING EYE
1FAE4	faceWithDiagonalMouth	FACE WITH DIAGONAL MOUTH
1FAE5	dottedLineFace	DOTTED LINE FACE
1FAE6	bitingLip	BITING LIP
1FAE7	bubbles	BUBBLES
1FAE8	shakingFace	SHAKING FACE
1FAE9	faceWithBagsUnderEyes	FACE WITH BAGS UNDER EYES
1FAF0	handWithIndexFingerAndThumbCrossed	HAND WITH INDEX FINGER AND THUMB CROSSED
1FAF1	rightwardsHand	RIGHTWARDS HAND
1FAF2	leftwardsHand	LEFTWARDS HAND
1FAF3	palmDownHand	PALM DOWN HAND
1FAF4	palmUpHand	PALM UP HAND
1FAF5	indexPointingAtTheViewer	INDEX POINTING AT THE VIEWER
1FAF6	heartHands	HEART HANDS
1FAF7	leftwardsPushingHand	LEFTWARDS PUSHING HAND
1FAF8	rightwardsPushingHand	RIGHTWARDS PUSHING HAND
